4K&测试,#genre#
频道预览1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
频道预览2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
央视导视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
卫视导视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
高清风景,http://185.57.68.33:8091/232/playlist.m3u8
BOX Relax 4K,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/19283/index.m3u8
Home 4K,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/4002/index.m3u8
Home 4K,http://aa7bc0b4.akadatel.com/iptv/ED8DTMPASXMV7Q/4002/index.m3u8
BOX Remast 4K,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/20158/index.m3u8
4k影视,http://nas.jdshipin.com:8801/4kys.php
北京淘电影,http://r.jdshipin.com/OeHMu
法国时尚,https://fashs043.cloudycdn.services/scte/sftv2/playlist.m3u8
法国时尚4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
时尚TV 4k,http://honeywatch.net:80/play/live.php?mac=00:1A:79:A5:9F:91&stream=1283290&extension=ts&play_token=ANc6neJCos
爱自然4k,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
爱自然,http://95.67.12.82:9098/
STAR 4K,http://honeywatch.net:80/play/live.php?mac=00:1A:79:A5:9F:91&stream=1283288&extension=ts&play_token=ggQ1TaqbK0
FILM 4K,http://honeywatch.net:80/play/live.php?mac=00:1A:79:A5:9F:91&stream=1283330&extension=ts&play_token=ldsQSlJKa4
FILM1,http://honeywatch.net:80/play/live.php?mac=00:1A:79:A5:9F:91&stream=1283331&extension=ts&play_token=5UQcDZPJrB
SONY MAX,http://195.26.87.217/live.ts?channelId=184&uid=7435&deviceMac=00:1A:79:51:4B:3A
RMC,https://i.mjh.nz/SamsungTVPlus/FRBD41000097I.m3u8
kino,http://89.254.128.5:22280/viasat_kino_action/index.m3u8
3AA,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/7141/index.m3u8
BTV,http://15.204.217.195/BTV/index.m3u8
内江综合,https://njzb.scnj.tv/hls_njtv_direct/1.m3u8
湖南卫视4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001339/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
深圳卫视4k,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001342/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV3 4K,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV5 4K,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV6 4K,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
CCTV8 4K,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8
历史频道,http://213.226.69.130/iptv/BF9GWX8VNPYM9X/231/index.m3u8
好莱坞,http://213.226.69.130/iptv/BF9GWX8VNPYM9X/209/index.m3u8
好莱坞,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/557/index.m3u8
宝莱坞,http://213.226.69.130/iptv/BF9GWX8VNPYM9X/239/index.m3u8
迪士尼,http://main.xplus2-main.xyz:2082/Tourobox1-acV3ehQRnK/NMcHidbUhZ/351
迪士尼HD,http://honeywatch.net:80/play/live.php?mac=00:1A:79:A5:9F:91&stream=156000&extension=ts&play_token=TExu3Dc07Q
动作电影,http://51.83.238.223:16703/
韩国劲片,http://a23.iptv11.com/977/video.m3u8?token=95C80E0B63D1B
韩国劲片,http://serv7.iptv11.com/977/video.m3u8?token=95C80E0B63D1B
韩剧频道,http://91.216.173.39:10120/play/a004
SYFY HD,http://62.210.220.21:7777/play/a00y
Dorama  HD,http://cdnua03.hls.tv/524/hls/ddcff427943735e6fa3c4138007bc4d3/4868/stream.m3u8
TV XXI,http://gmx9up2a.ottclub.xyz/iptv/9DEUPF9K25U84K/525/index.m3u8
FashionBox HD,http://cdnua03.hls.tv/524/hls/38723e07ee57679b516a78958abde705/228/stream.m3u8
http://204.199.120.34:16123/play/ch50
3,http://88.135.128.20:7272/Tujrl3B6ZZcnOYY
6,http://bigteisti6.cdn.lifeyosso.fun:56371/TV6_HD/video.m3u8?token=QkxBREV8fE5UWnhOalJ4TXpWeA==
ITV2,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=30532
14013,http://makeev.cbilant.com/iptv/L5X3Z2R8237RKM/14013/index.m3u8
FilmZone EE,http://89.254.128.5:22280/film_zone/tracks-v1a1/mono.m3u8
Moviebox,https://cdn1.skygo.mn/live/disk1/Moviebox/HLS-FTA/Moviebox.m3u8
DHE,http://181.204.21.164:8000/play/a09j/index.m3u8
CINEMAX,http://64.31.40.14:14031
NTV,http://109.239.138.241:8000/ntvnn
Service01 HD,http://109.239.138.241:8000/tv3plus4
FASHION TV HD,http://103.131.214.129:9985/stream/channelid/1970610798?ticket=D9E704995D13E7559DDA5DD905155D8F9BC00C13&profile=pass
FASHION TV Asia,http://103.131.214.129:9985/stream/channelid/176023054?ticket=A4656BFF4864287691B42CFB0532C9AB5E36C243&profile=pass
World Fashion Channel,http://94.228.204.166:8000/play/0089
D,https://dom-live-megafon2.mediavitrina.ru/hls-livef1/ctc-dom/tracks-v5a1/mono.m3u8
F,http://balkan-live.net:80/Halid1234/Halid1234/60396?join.the.Billybob.fan.club!
E!,http://dns.acaidopara.net:8080/domingas001/s5fk2kvbts/1588
frii,https://live-fi.tvkaista.net/frii/live.m3u8
CINE ACTION FULL HD,http://62.210.220.21:7777/play/a00f
NBA FULL HD,http://62.210.220.21:7777/play/a01g
food,http://dns.panela.online:80/amandafr/amdfr0064/231609
KTOP,https://cdn3.wowza.com/5/cHYzekYzM2kvTVFH/oakland/G0219_002/playlist.m3u8
Premium Action,http://pro-solut-xi.eu:5436/bossna/testiptvvv/10072
